building,name,lat,lon,note
1,인문관1(1동),37.46027,126.95234,서울대 캠퍼스맵 API
2,인문관2(2동),37.46038,126.95295,서울대 캠퍼스맵 API
3,인문관3(3동),37.46071,126.95355,서울대 캠퍼스맵 API
4,신양인문학술정보관(4동),37.46089,126.95326,서울대 캠퍼스맵 API
5,인문관4(5동),37.4606,126.95393,서울대 캠퍼스맵 API
6,인문관5(6동),37.46073,126.95452,서울대 캠퍼스맵 API
8,두산인문관(8동),37.46016,126.95398,서울대 캠퍼스맵 API
9,사범관1(9동),37.46017,126.9548,서울대 캠퍼스맵 API
10,사범관2(10동),37.46031,126.95536,서울대 캠퍼스맵 API
11,사범관3(11동),37.45979,126.9552,서울대 캠퍼스맵 API
12,사범교육협력센터(12동),37.45962,126.95479,서울대 캠퍼스맵 API
13,과학교육관(13동),37.45927,126.95389,서울대 캠퍼스맵 API
14,인문관7(14동),37.46093,126.95499,서울대 캠퍼스맵 API
15,법학관1(15동),37.46233,126.95174,서울대 캠퍼스맵 API
16,사회과학관(16동),37.46353,126.95092,서울대 캠퍼스맵 API
17,법학관2(17동),37.46284,126.95187,서울대 캠퍼스맵 API
18,자연과학관1(18동),37.45678,126.95277,서울대 캠퍼스맵 API
19,자연과학관2(19동),37.45618,126.95277,서울대 캠퍼스맵 API
20,약학관3(20동),37.45869,126.95289,서울대 캠퍼스맵 API
21,약학관1(21동),37.45784,126.95223,서울대 캠퍼스맵 API
22,자연과학관4(22동),37.45792,126.95096,서울대 캠퍼스맵 API
24,자연과학관6(24동),37.45942,126.94989,서울대 캠퍼스맵 API
25,자연과학관7(25동),37.45856,126.94988,서울대 캠퍼스맵 API
26,자연과학관8(26동),37.45881,126.95036,서울대 캠퍼스맵 API
28,자연대(대형)(28동),37.45762,126.95039,서울대 캠퍼스맵 API
29,약학관2(29동),37.4561,126.95368,서울대 캠퍼스맵 API
31,공학관2(31동),37.45702,126.95002,서울대 캠퍼스맵 API
33,공학관4(33동),37.45625,126.95084,서울대 캠퍼스맵 API
34,공학관5(34동),37.45609,126.95149,서울대 캠퍼스맵 API
35,공학관6(35동),37.45665,126.95211,서울대 캠퍼스맵 API
36,공학관7(36동),37.45554,126.95146,서울대 캠퍼스맵 API
37,공학관8(37동),37.45572,126.95075,서울대 캠퍼스맵 API
38,글로벌공학교육센터(38동),37.4549,126.95062,서울대 캠퍼스맵 API
39,대학원연구동(1단계)(39동),37.45465,126.95157,서울대 캠퍼스맵 API
43,데이터사이언스대학원 및 공과대학 강의동 1(43동),37.45722,126.95173,서울대 캠퍼스맵 API
49,예술관연구동(49동),37.46344,126.95425,서울대 캠퍼스맵 API
50,예술관(미대)1(50동),37.46304,126.95234,서울대 캠퍼스맵 API
51,예술관(미대)2(51동),37.46354,126.95268,서울대 캠퍼스맵 API
52,예술관(미대)3(52동),37.46352,126.95319,서울대 캠퍼스맵 API
53,예술관(음대)1(53동),37.46304,126.95344,서울대 캠퍼스맵 API
56,자연과학관10(56동),37.4577,126.9514,서울대 캠퍼스맵 API
57,행정대학원(57동),37.46559,126.95314,서울대 캠퍼스맵 API
58,SK경영관(58동),37.46568,126.95203,서울대 캠퍼스맵 API
59,LG경영관(경영연구관및산학협동관)(59동),37.46496,126.95295,서울대 캠퍼스맵 API
61,기초교육원(61동),37.45985,126.95376,서울대 캠퍼스맵 API
62,중앙도서관 본관(62동),37.4594,126.95199,서울대 캠퍼스맵 API
64,IBK커뮤니케이션센터(64동),37.46383,126.94937,서울대 캠퍼스맵 API
66,학군단(66동),37.4567,126.95424,서울대 캠퍼스맵 API
71,체육관(71동),37.4676,126.95238,서울대 캠퍼스맵 API
74,예술복합연구동(74동),37.46193,126.95312,서울대 캠퍼스맵 API
75,복지관(75동),37.45609,126.94909,서울대 캠퍼스맵 API
80,수의대부속동물병원(80동),37.46822,126.95324,서울대 캠퍼스맵 API
81,생명공학연구동(81동),37.46698,126.95425,서울대 캠퍼스맵 API
82,환경대학원(82동),37.46237,126.95409,서울대 캠퍼스맵 API
83,인문사회계멀티미디어강의동(83동),37.46344,126.95168,서울대 캠퍼스맵 API
84,근대법학교육100주년기념관(84동),37.46226,126.95233,서울대 캠퍼스맵 API
85,수의과대학(85동),37.46744,126.95365,서울대 캠퍼스맵 API
86,치의학대학원 첨단교육연구복합단지(86동),37.46899,126.95304,서울대 캠퍼스맵 API
101,아시아연구소(101동),37.46328,126.95015,서울대 캠퍼스맵 API
129,수리과학연구동(129동),37.4578,126.94948,서울대 캠퍼스맵 API
132,뉴미디어통신공동연구소(132동),37.45487,126.95407,서울대 캠퍼스맵 API
140,국제대학원(140동),37.46427,126.95487,서울대 캠퍼스맵 API
142,약학관5(142동),37.45663,126.9537,서울대 캠퍼스맵 API
143,약대신약개발연구센터(143동),37.45828,126.95308,서울대 캠퍼스맵 API
153,우정원 글로벌사회공헌센터(153동),37.46642,126.95217,서울대 캠퍼스맵 API
200,농업생명과학대학(200동),37.45769,126.94868,서울대 캠퍼스맵 API
201,농업생명과학대학환경관(201동),37.45687,126.94852,서울대 캠퍼스맵 API
203,SPC농생명과학 및 기초과학연구동(203동),37.45834,126.94836,서울대 캠퍼스맵 API
220,종합교육연구동(220동),37.46451,126.95424,서울대 캠퍼스맵 API
221,보건대학원(221동),37.46489,126.95469,서울대 캠퍼스맵 API
222,생활과학대학(222동),37.46437,126.95318,서울대 캠퍼스맵 API
223,관악 223동[우석경제관](223동),37.465509,126.955673,서울대 캠퍼스맵 API
300,관악 300동[유회진 학술정보관](300동),37.45095,126.9527,서울대 캠퍼스맵 API
301,제1공학관(301동),37.45016,126.95259,서울대 캠퍼스맵 API
302,제2공학관(302동),37.44887,126.95265,서울대 캠퍼스맵 API
500,대학원연구동(2단계)(500동),37.4592190840394,126.948120067187,서울대 캠퍼스맵 API
942,LG연구동(942동),37.46587,126.96088,서울대 캠퍼스맵 API
10-1,사범대교육정보관(10-1동),37.45996,126.95592,서울대 캠퍼스맵 API
15-1,법학강의동(15-1동),37.46241,126.95126,서울대 캠퍼스맵 API
25-1,자연대강의및실험연구동(25-1동),37.45897,126.94941,서울대 캠퍼스맵 API
43-1,이공계멀티미디어강의동(43-1동),37.45667,126.95145,서울대 캠퍼스맵 API
43-2,관악 43-2동[데이터사이언스대학원 및 공과대학 강의동 2](43-2동),37.45701,126.95126,서울대 캠퍼스맵 API
52-1,미대교양실습동(52-1동),37.46394,126.9534,서울대 캠퍼스맵 API
52-2,야외조각실습장2(52-2동),37.46404,126.95294,서울대 캠퍼스맵 API
57-1,행정대학원(57-1동),37.46519,126.95373,서울대 캠퍼스맵 API
75-1,제3학생식당(75-1동),37.45647,126.94851,서울대 캠퍼스맵 API
85-1,수의대시약보관창고(85-1동),37.46799,126.95371,서울대 캠퍼스맵 API
140-1,국제대학원2(140-1동),37.46406,126.9546,서울대 캠퍼스맵 API
140-2,국제회의동(140-2동),37.46448,126.95497,서울대 캠퍼스맵 API
152-1,롯데국제교육관(152-1동),37.46657,126.95119,서울대 캠퍼스맵 API
71-1,"71-1동 (체육관 부속, 캠퍼스맵 미검색)",37.46730,126.95290,근사값 — 71동 인근. 확인 필요
919,관악학생생활관 919동 (출발/도착 후보),37.45280,126.95750,근사값 — 캠퍼스맵으로 교체 예정
GATE,정문 (출발/도착 후보),37.46620,126.94900,근사값
